,Date,Unix,Ticker,Price,stock_p_change,SP500,sp500_p_change,Difference,DE Ratio,Trailing P/E,Price/Sales,Price/Book,Profit Margin,Operating Margin,Return on Assets,Return on Equity,Revenue Per Share,Market Cap,Enterprise Value,Forward P/E,PEG Ratio,Enterprise Value/Revenue,Enterprise Value/EBITDA,Revenue,Gross Profit,EBITDA,Net Income Avl to Common ,Diluted EPS,Earnings Growth,Revenue Growth,Total Cash,Total Cash Per Share,Total Debt,Current Ratio,Book Value Per Share,Cash Flow,Beta,Held by Insiders,Held by Institutions,Shares Short (as of,Short Ratio,Short % of Float,Shares Short (prior ,Status
34,N/A,N/A,amzn,N/A,N/A,N/A,N/A,N/A,149.79,N/A,1.93,16.03,0.27,0.20,0.24,1.5,192.62,172870000000.0,171540000000.0,163.99,34.63,1.93,39.30,1.93,26240000000.0,1.5,241000000.0,0.52,10.80,14.60,17420000000.0,37.50,16090000000.0,1.12,23.10,372.25,1.5,18.26,67.70,6610000.0,2.50,N/A,7190000.0,N/A
35,N/A,N/A,an,N/A,N/A,N/A,N/A,N/A,252.19,18.31,0.38,3.49,2.19,4.23,6.19,1.5,162.91,7320000000.0,12470000000.0,N/A,N/A,0.65,13.63,0.65,2990000000.0,1.5,419800000.0,3.52,6.70,11.60,75400000.0,0.66,5230000000.0,1.03,18.29,64.47,1.5,34.46,3.30,1910000.0,2.50,N/A,1730000.0,N/A
36,N/A,N/A,anf,N/A,N/A,N/A,N/A,N/A,24.75,31.30,0.41,1.11,1.38,4.90,4.28,1.5,52.16,1540000000.0,1370000000.0,18.21,1.41,0.37,3.34,0.37,2580000000.0,1.5,51820000.0,0.71,32.90,13.80,520710000.00000006,7.49,343930000.0,2.40,20.04,22.22,1.5,2.14,108.80,23350000.0,5.10,44.10,19850000.0,N/A
37,N/A,N/A,ann,N/A,N/A,N/A,N/A,N/A,0.59,28.06,0.72,3.57,2.68,5.10,7.71,1.5,56.09,1840000000.0,1630000000.0,17.30,1.71,0.65,6.80,0.65,1290000000.0,1.5,66599999.99999999,1.46,94.40,3.90,207710000.0,4.63,3000000.0,1.81,11.39,40.99,1.5,2.78,94.40,2150000.0,2.40,4.70,2009999.9999999998,N/A
38,N/A,N/A,aon,N/A,N/A,N/A,N/A,N/A,84.18,20.74,2.24,4.10,11.62,16.43,4.11,1.5,41.09,27080000000.0,32060000000.000004,14.17,1.34,2.67,12.48,2.67,12040000000.0,1.5,1380000000.0,4.66,29.30,2.80,599000000.0,2.14,5580000000.0,1.05,23.47,96.63,1.5,0.75,91.10,1820000.0,1.70,0.60,2230000.0,N/A
39,N/A,N/A,apa,N/A,N/A,N/A,N/A,N/A,39.97,N/A,1.70,0.88,40.09,35.77,5.13,1.5,35.10,23150000000.0,33729999999.999996,50.78,2.48,2.50,3.32,2.50,11000000000.0,1.5,4890000000.0,14.07,N/A,19.20,769000000.0,2.04,11240000000.0,1.75,68.89,61.44,1.5,0.45,89.50,10330000.0,2.50,N/A,8000000.0,N/A
40,N/A,N/A,apc,N/A,N/A,N/A,N/A,N/A,73.08,N/A,2.59,2.16,10.69,19.68,3.43,1.5,32.36,42840000000.0,51820000000.0,81.30,1.77,3.17,5.71,3.17,15080000000.0,1.5,1750000000.0,3.47,N/A,12.70,7370000000.0,14.55,16309999999.999998,1.10,38.90,84.55,1.5,0.20,87.40,7320000.0,1.60,1.40,8510000.0,N/A
41,N/A,N/A,apd,N/A,N/A,N/A,N/A,N/A,78.55,31.73,3.08,4.37,9.82,16.30,5.99,1.5,49.01,32360000000.0,38220000000.0,20.63,1.94,3.66,14.36,3.66,2800000000.0,1.5,1020000000.0,4.76,11.90,0.60,264300000.0,1.23,6120000000.0,1.05,34.31,151.04,1.5,0.25,87.60,3410000.0,4.40,1.60,3430000.0,N/A
42,N/A,N/A,aph,N/A,N/A,N/A,N/A,N/A,91.01,26.61,3.38,6.21,13.27,19.62,9.94,1.5,17.07,18240000000.0,19580000000.0,N/A,N/A,3.66,16.10,3.66,1690000000.0,1.5,709100000.0,2.21,15.20,14.50,1330000000.0,4.29,2670000000.0,3.35,9.38,58.80,1.5,0.31,97.90,4040000.0,4.30,1.50,3460000.0,N/A
43,N/A,N/A,apol,N/A,N/A,N/A,N/A,N/A,5.11,21.17,0.70,1.70,3.43,9.78,6.93,1.5,25.66,2000000000.0,1290000000.0,15.63,2.10,0.46,3.05,0.46,1720000000.0,1.5,100240000.0,0.87,N/A,14.00,759820000.0,7.06,60820000.0,1.54,11.00,18.44,1.5,13.38,96.70,9520000.0,10.20,10.00,9230000.0,N/A
